age,rq1,rq2,rq3,st_5
57,8,7,10,8
40,7,7,7,8
41,6,6,6,9
38,8,8,8,10
30,8,5,8,12
39,1,2,2,13
28,6,6,6,13
34,8,8,8,8
22,4,9,5,15
38,10,2,10,14
32,3,3,2,8
21,5,5,5,15
32,9,8,5,14
18,10,10,5,10
45,8,10,7,9
19,8,6,6,9
31,6,6,6,12
38,6,6,5,12
48,10,10,10,15
24,2,9,9,11
18,5,3,9,9
41,5,3,5,8
53,7,7,6,8
41,3,2,3,8
28,2,2,9,13
24,5,5,5,10
27,3,3,5,11
21,7,8,8,15
17,7,8,8,8
22,5,5,6,8
26,2,2,5,14
22,6,3,8,8
26,5,5,5,8
17,0,0,0,11
39,10,5,8,13
55,5,8,8,11
33,10,10,10,9
26,5,1,10,9
27,1,1,5,14
20,5,7,8,9
29,8,8,8,10
66,1,1,1,12
24,4,4,5,10
40,9,8,8,8
17,7,3,7,13
24,4,5,5,9
20,5,4,10,8
27,9,7,8,8
68,5,1,8,11
26,2,5,2,8
30,3,6,5,8
33,1,3,3,8
25,1,1,1,13
24,8,8,10,13
23,9,9,9,8
14,8,8,5,9
14,2,2,1,14
22,6,6,5,10
26,3,3,6,10
54,8,6,6,12
21,0,0,0,11
20,3,2,4,9
20,5,5,5,10
25,7,7,4,11
15,4,4,5,9
32,5,5,8,11
26,2,2,8,12
27,5,5,5,10
17,2,2,2,14
28,5,8,5,12
23,5,4,3,14
19,8,8,7,12
53,10,5,8,10
27,5,4,5,13
46,6,6,9,11
45,4,4,4,13
20,7,7,9,8
18,1,5,8,8
68,8,6,6,9
34,8,6,9,8
21,5,4,5,8
16,1,4,2,14
47,2,2,5,14
24,5,5,6,9
23,5,5,6,13
24,7,10,6,8
14,4,1,6,12
29,5,5,5,9
43,1,1,1,12
69,8,6,8,8
25,4,8,7,11
65,5,5,5,14
34,5,8,6,9
38,5,5,7,8
37,8,5,9,8
24,5,5,5,15
21,7,6,8,8
40,5,7,5,10
26,2,2,4,12
43,4,1,1,13
63,3,3,3,10
26,4,5,8,10
43,7,7,5,11
28,10,7,7,10
32,5,5,8,11
32,4,4,5,8
28,4,7,5,10
45,2,2,5,15
18,5,5,5,8
51,1,1,1,13
42,5,9,10,8
22,1,8,10,12
42,5,5,6,13
46,7,6,6,10
26,9,1,4,11
59,8,7,8,8
20,8,7,9,10
31,5,5,5,8
52,3,3,3,8
20,5,5,4,11
31,2,7,3,12
23,5,3,5,8
27,4,4,5,8
24,1,2,2,10
22,9,10,10,9
22,5,1,5,11
29,8,8,5,11
18,4,3,5,14
47,10,10,5,8
17,5,5,10,9
56,9,9,10,8
43,5,5,10,8
18,10,8,9,8
20,5,3,3,11
23,8,7,5,9
27,4,5,2,8
29,1,10,1,15
16,8,7,4,8
16,3,3,5,8
22,5,5,8,12
